"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-01",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-02",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-03",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-04",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-05",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-06",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-07",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-08",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-09",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-10",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-11",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-12",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-13",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-14",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-15",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-16",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-17",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-18",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-19",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-20",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-21",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-22",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-23",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-24",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-25",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-26",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-27",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-28",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-29",,,,
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-30",,,,
